"TIME","PARTNER","UNIT","NACE_R2","GEO","Value","Flag and Footnotes"
"2012","Germany (until 1990 former territory of the FRG)","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Slovenia","686,044","b"
"2012","Germany (until 1990 former territory of the FRG)","Number","Hotels and similar accommodation","Croatia","3,640,139","b"
"2012","Germany (until 1990 former territory of the FRG)","Number","Hotels and similar accommodation","Slovenia","407,787",""
"2012","Germany (until 1990 former territory of the FRG)","Number","Camping grounds, recreational vehicle parks and trailer parks","Croatia","5,420,752","b"
"2012","Germany (until 1990 former territory of the FRG)","Number","Camping grounds, recreational vehicle parks and trailer parks","Slovenia","172,002","b"
"2012","Spain","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Croatia","332,746","b"
"2012","Spain","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Slovenia","66,425","b"
"2012","Spain","Number","Hotels and similar accommodation","Croatia","227,553","b"
"2012","Spain","Number","Hotels and similar accommodation","Slovenia","45,061",""
"2012","Spain","Number","Camping grounds, recreational vehicle parks and trailer parks","Croatia","21,137","b"
"2012","Spain","Number","Camping grounds, recreational vehicle parks and trailer parks","Slovenia","7,013","b"
"2012","France","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Croatia","1,521,633","b"
"2012","France","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Slovenia","141,712","b"
"2012","France","Number","Hotels and similar accommodation","Croatia","894,038","b"
"2012","France","Number","Hotels and similar accommodation","Slovenia","77,458",""
"2012","France","Number","Camping grounds, recreational vehicle parks and trailer parks","Croatia","237,140","b"
"2012","France","Number","Camping grounds, recreational vehicle parks and trailer parks","Slovenia","30,632","b"
"2012","Croatia","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Croatia","5,103,958","b"
"2012","Croatia","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Slovenia",":",""
"2012","Croatia","Number","Hotels and similar accommodation","Croatia","2,258,627","b"
"2012","Croatia","Number","Hotels and similar accommodation","Slovenia",":",""
"2012","Croatia","Number","Camping grounds, recreational vehicle parks and trailer parks","Croatia","409,555","b"
"2012","Croatia","Number","Camping grounds, recreational vehicle parks and trailer parks","Slovenia",":",""
"2012","Italy","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Croatia","4,407,550","b"
"2012","Italy","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Slovenia","944,304","b"
"2012","Italy","Number","Hotels and similar accommodation","Croatia","1,263,444","b"
"2012","Italy","Number","Hotels and similar accommodation","Slovenia","777,204",""
"2012","Italy","Number","Camping grounds, recreational vehicle parks and trailer parks","Croatia","1,378,999","b"
"2012","Italy","Number","Camping grounds, recreational vehicle parks and trailer parks","Slovenia","74,025","b"
"2012","Austria","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Croatia","5,075,548","b"
"2012","Austria","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Slovenia","692,161","b"
"2012","Austria","Number","Hotels and similar accommodation","Croatia","2,301,769","b"
"2012","Austria","Number","Hotels and similar accommodation","Slovenia","568,879",""
"2012","Austria","Number","Camping grounds, recreational vehicle parks and trailer parks","Croatia","1,376,793","b"
"2012","Austria","Number","Camping grounds, recreational vehicle parks and trailer parks","Slovenia","71,041","b"
"2012","Slovenia","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Croatia","6,208,902","b"
"2012","Slovenia","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Slovenia","3,703,703","b"
"2012","Slovenia","Number","Hotels and similar accommodation","Croatia","1,244,806","b"
"2012","Slovenia","Number","Hotels and similar accommodation","Slovenia","2,045,534",""
"2012","Slovenia","Number","Camping grounds, recreational vehicle parks and trailer parks","Croatia","2,772,116","b"
"2012","Slovenia","Number","Camping grounds, recreational vehicle parks and trailer parks","Slovenia","559,860","b"
"2012","United Kingdom","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Croatia","1,501,657","b"
"2012","United Kingdom","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Slovenia","223,213","b"
"2012","United Kingdom","Number","Hotels and similar accommodation","Croatia","988,872","b"
"2012","United Kingdom","Number","Hotels and similar accommodation","Slovenia","163,316",""
"2012","United Kingdom","Number","Camping grounds, recreational vehicle parks and trailer parks","Croatia","117,805","b"
"2012","United Kingdom","Number","Camping grounds, recreational vehicle parks and trailer parks","Slovenia","19,674","b"
"2012","America","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Croatia","727,076","b"
"2012","America","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Slovenia","173,362","b"
"2012","America","Number","Hotels and similar accommodation","Croatia","483,903","b"
"2012","America","Number","Hotels and similar accommodation","Slovenia","143,875",""
"2012","America","Number","Camping grounds, recreational vehicle parks and trailer parks","Croatia","24,924","b"
"2012","America","Number","Camping grounds, recreational vehicle parks and trailer parks","Slovenia","3,331","b"
"2012","Asia","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Croatia","643,607","b"
"2012","Asia","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Slovenia","295,588","b"
"2012","Asia","Number","Hotels and similar accommodation","Croatia","542,757","b"
"2012","Asia","Number","Hotels and similar accommodation","Slovenia","249,839",""
"2012","Asia","Number","Camping grounds, recreational vehicle parks and trailer parks","Croatia","9,171","b"
"2012","Asia","Number","Camping grounds, recreational vehicle parks and trailer parks","Slovenia","3,130","b"
"2012","All countries of the world","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Croatia","62,183,925","b"
"2012","All countries of the world","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Slovenia","9,406,009","b"
"2012","All countries of the world","Number","Hotels and similar accommodation","Croatia","21,137,979","b"
"2012","All countries of the world","Number","Hotels and similar accommodation","Slovenia","6,195,576",""
"2012","All countries of the world","Number","Camping grounds, recreational vehicle parks and trailer parks","Croatia","16,241,740","b"
"2012","All countries of the world","Number","Camping grounds, recreational vehicle parks and trailer parks","Slovenia","1,297,196","b"
"2013","Europe","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Croatia","62,397,843",""
"2013","Europe","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Slovenia","8,872,429",""
"2013","Europe","Number","Hotels and similar accommodation","Croatia","19,771,802",""
"2013","Europe","Number","Hotels and similar accommodation","Slovenia","5,684,892",""
"2013","Europe","Number","Camping grounds, recreational vehicle parks and trailer parks","Croatia","16,586,822",""
"2013","Europe","Number","Camping grounds, recreational vehicle parks and trailer parks","Slovenia","1,294,321",""
"2013","Germany (until 1990 former territory of the FRG)","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Croatia","14,387,778",""
"2013","Germany (until 1990 former territory of the FRG)","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Slovenia","685,003",""
"2013","Germany (until 1990 former territory of the FRG)","Number","Hotels and similar accommodation","Croatia","3,635,704",""
"2013","Germany (until 1990 former territory of the FRG)","Number","Hotels and similar accommodation","Slovenia","393,520",""
"2013","Germany (until 1990 former territory of the FRG)","Number","Camping grounds, recreational vehicle parks and trailer parks","Croatia","5,521,332",""
"2013","Germany (until 1990 former territory of the FRG)","Number","Camping grounds, recreational vehicle parks and trailer parks","Slovenia","177,563",""
"2013","Spain","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Croatia","314,534",""
"2013","Spain","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Slovenia","64,864",""
"2013","Spain","Number","Hotels and similar accommodation","Croatia","197,207",""
"2013","Spain","Number","Hotels and similar accommodation","Slovenia","42,889",""
"2013","Spain","Number","Camping grounds, recreational vehicle parks and trailer parks","Croatia","20,107",""
"2013","Spain","Number","Camping grounds, recreational vehicle parks and trailer parks","Slovenia","5,674",""
"2013","France","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Croatia","1,638,765",""
"2013","France","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Slovenia","149,985",""
"2013","France","Number","Hotels and similar accommodation","Croatia","897,734",""
"2013","France","Number","Hotels and similar accommodation","Slovenia","85,964",""
"2013","France","Number","Camping grounds, recreational vehicle parks and trailer parks","Croatia","252,420",""
"2013","France","Number","Camping grounds, recreational vehicle parks and trailer parks","Slovenia","29,212",""
"2013","Croatia","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Croatia","5,039,396",""
"2013","Croatia","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Slovenia","293,970",""
"2013","Croatia","Number","Hotels and similar accommodation","Croatia","2,192,934",""
"2013","Croatia","Number","Hotels and similar accommodation","Slovenia","219,725",""
"2013","Croatia","Number","Camping grounds, recreational vehicle parks and trailer parks","Croatia","446,434",""
"2013","Croatia","Number","Camping grounds, recreational vehicle parks and trailer parks","Slovenia","3,309",""
"2013","Italy","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Croatia","4,308,637",""
"2013","Italy","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Slovenia","918,727",""
"2013","Italy","Number","Hotels and similar accommodation","Croatia","1,172,815",""
"2013","Italy","Number","Hotels and similar accommodation","Slovenia","752,881",""
"2013","Italy","Number","Camping grounds, recreational vehicle parks and trailer parks","Croatia","1,333,350",""
"2013","Italy","Number","Camping grounds, recreational vehicle parks and trailer parks","Slovenia","68,344",""
"2013","Austria","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Croatia","5,186,595",""
